filename,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,potted plant,sheep,sofa,train,tv/monitor,red,n_red,yellow,n_yellow,green,n_green,cyan,n_cyan,blue,n_blue,magenta,n_magenta,emotion
adolf-hitler_shelter-in-fournes,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9228842527109854,7,0.07392591937765206,8,0.002906205799151344,1,0.00025783828382838287,3,0,0,2.5783828382838284e-05,2,joy
adolf-hitler_the-castle-on-the-donau,0.9996157046075829,0,0,0.0003842953924170992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903284338972307,9,1.1885424507745335e-05,1,0.003153599302721762,1,4.754169803098134e-05,1,0.00011489243690820491,2,0.09338774216552435,7,joy
adolf-hitler_the-courtyard-of-the-old-residency-in-munich-1913,0.9954347786860102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3406097186885365,6,0.08375286454104189,4,0.523868167956838,7,0.05070012089716523,10,0,0,0.001069127916418557,6,sadness
adolf-hitler_the-st-charles-church,0.9977298370104536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002270162989546375,0,0,0,0,0,0.958916167094871,10,0,0,0.00576036866359447,3,0.0031571578103122494,1,0.0014069573019044903,5,0.030759349129317725,7,joy
adolf-hitler_white-orchids,0.9966226386693761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42876025438398435,3,0.0009878076315195303,3,0.22483912847143828,5,0.3054113042823812,5,0.008560999473169264,4,0.031440505757507335,3,joy
albert-bierstadt_bison-with-coyotes-in-the-background,0.7305267566099239,0,0,0,0,0,0,0,0.003893516841724013,0,0.22611259507424847,0,0,0.039467131474103585,0,0,0,0,0,0,0,0.6254300977906557,9,0.3575187884824339,4,0.003191778341180732,1,0,0,0.004544322709163347,3,0.009315012676566462,4,joy
albert-bierstadt_rainbow-over-a-fallen-stag,0.9713555376984677,0,0,0.0007620050430879215,0,0,0,0,0,0,0,0,0.0185444318213306,0.009338025437113802,0,0,0,0,0,0,0,0.8344370860927153,9,0.0057566017346005706,2,0.05329186178613982,4,0.0986935077170329,7,2.078195572057968e-05,1,0.007800160713790907,6,joy
albert-bierstadt_wharf-scene,0.9808078202041051,0,0,0,0.016949031074418072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022431487214768947,0,0.6693613117761725,9,2.149982800137599e-05,1,0.1776602453847036,5,0.0004944960440316478,1,0.027813610824446736,5,0.12464883614264419,5,AMBIGUOUS
alekos-kontopoulos_figures-1,0.8611507936507936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13884920634920636,0,0,0,0,0,0.9999999999999999,7,0,0,0,0,0,0,0,0,0,0,AMBIGUOUS
alekos-kontopoulos_figures,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999492385786802,5,0,0,0,0,0,0,0,0,5.076142131979695e-05,1,AMBIGUOUS
alekos-kontopoulos_girl-with-rose,0.6725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3275,0,0,0,0,0,0.993564814814815,10,0,0,4.6296296296296294e-05,1,0,0,0.0003935185185185185,1,0.0059953703703703705,3,disgust
alekos-kontopoulos_landscape-1945,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5984894259818732,9,0.1192749244712991,6,0.01636790869419268,2,0.2613897280966768,10,0,0,0.004478012755958374,5,joy
